Country,Male Including NMSC Number,Male Including NMSC Rate,Male Excluding NMSC Number, Male Excluding NMSC Rate,Female Including NMSC Number,Female Including NMSC Rate,Female Excluding NMSC Number,Female Excluding NMSC Rate
ÿMaldives,248,107.1,242,103.7,231,111.3,229,110.2
ÿGhana,"11,398",106.2,"11,191",104.6,"15,987",135.2,"15,863",134.1
ÿBahrain,654,105.5,646,104.5,729,137.4,727,137
ÿTogo,"2,396",105.4,"2,285",101.6,"3,095",111.1,"3,007",107.9
ÿMadagascar,"8,500",104.9,"8,226",102,"12,797",130.7,"12,467",127.7
ÿAfghanistan,"11,239",103.6,"10,984",100.9,"13,036",110.7,"12,766",108
ÿLiberia,"1,548",102.9,"1,508",100.6,"2,325",128.8,"2,288",126.7
ÿDR Congo,"23,033",100.1,"22,772",99.1,"29,579",107.8,"29,277",106.8
ÿPakistan,"87,568",99.5,"84,755",96.2,"98,180",111.8,"96,183",109.4
ÿSenegal,"4,270",99,"4,140",96.3,"7,571",126.9,"7,421",124.2
ÿKuwait,"2,120",97.8,"2,108",97.3,"2,227",139.1,"2,219",138.6
ÿIndia,"691,178",97.1,"684,166",96.1,"722,138",100.8,"717,555",100.2
ÿCentral African Republic,"1,075",96.7,"1,059",95.2,"1,615",110,"1,597",108.8
ÿGabon,742,96.4,726,94.3,"1,133",134.6,"1,116",132.6
ÿSomalia,"3,998",95.4,"3,878",92.5,"6,683",145.9,"6,545",142.8
ÿVanuatu,105,94,105,94,145,121.7,145,121.7
ÿNigeria,"48,096",93.9,"46,686",91.5,"79,667",133.3,"78,049",130.7
ÿEquatorial Guinea,410,93.7,401,91.6,516,128,509,126.3
ÿComoros,237,92.9,227,90,382,122,372,119.5
ÿTajikistan,"2,949",92.7,"2,880",90.1,"3,518",92,"3,486",91.1
ÿRwanda,"3,287",91.7,"3,231",90.2,"3,835",79.7,"3,735",77.6
ÿMauritania,"1,266",91.4,"1,230",89.2,"2,008",120,"1,972",117.7
ÿBhutan,356,90.5,350,88.8,282,84.5,280,83.9
ÿSouth Sudan,"2,857",89.8,"2,794",87.8,"4,017",109.7,"3,943",107.7
ÿGuinea-Bissau,428,87.4,415,85.4,742,112.7,726,110.3
ÿUnited Arab Emirates,"2,607",86.4,"2,552",84.5,"2,919",157.8,"2,893",156.4
ÿCongo,"1,171",84.2,"1,168",84,"1,556",82.3,"1,549",82
ÿÿÿNepal,"9,792",81.6,"9,684",80.7,"12,216",80.7,"12,082",79.8
ÿSaudi Arabia,"14,745",81,"14,535",79.7,"13,368",100.4,"13,233",99.2
ÿEast Timor,373,80.8,369,79.9,455,89.6,451,88.7
ÿSudan,"11,326",80.6,"11,079",78.7,"17,260",109.7,"16,997",108.1
ÿEritrea,910,78.7,883,76.3,"1,553",119.7,"1,520",117.1
ÿYemen,"7,213",77.8,"7,053",75.7,"9,312",89.2,"9,207",88
ÿEthiopia,"27,713",75.8,"26,588",72.7,"52,621",131.8,"51,202",128.1
ÿGambia,520,74.7,518,74.4,676,83.1,674,82.8
ÿNiger,"4,910",74.2,"4,745",71.7,"6,683",92.8,"6,518",90.5
ÿDjibouti,311,71.6,302,69.6,494,111.3,485,109.2
ÿQatar,"1,093",70.7,"1,085",70.2,640,119.7,634,118.5
ÿSierra Leone,874,39.3,873,39.3,"1,044",34.7,"1,042",34.7
