Country,Including NMSC Number, Including NMSC Rate,Excluding NMSC Number,Excluding NMSC Rate
ÿGeorgia,"13,689",197.5,"13,184",192.2
World,"19,976,499",196.9,"18,741,966",186.5
ÿNamibia,"3,453",193.5,"3,222",179.1
ÿBahamas,955,192.7,937,189
ÿParaguay,"13,783",192.2,"13,380",186.7
ÿBrunei,925,192.2,902,187.2
ÿChile,"59,876",188.7,"57,082",181.5
ÿPapua New Guinea,"12,190",188.7,"11,491",175.1
ÿTrinidad and Tobago,"3,931",186.7,"3,918",186.1
ÿPhilippines,"188,976",185.4,"187,806",184.2
ÿVenezuela,"62,947",184.8,"58,613",173.4
ÿCosta Rica,"13,325",177.7,"11,817",159.3
ÿColombia,"117,620",177.6,"114,573",173.7
ÿFiji,"1,601",174.8,"1,593",173.9
ÿPeru,"72,827",173.8,"69,765",167.7
ÿSuriname,"1,119",169.5,"1,103",167
ÿLebanon,"13,034",168.8,"12,690",164.6
ÿGuam,412,167.2,412,167.2
ÿDominican Republic,"20,171",167,"19,887",164.8
ÿSaint Lucia,448,166.8,448,166.8
ÿEgypt,"150,578",166.1,"148,639",163.9
ÿNorth Korea,"61,533",166.1,"61,212",165.2
ÿKazakhstan,"36,225",162.3,"34,116",153.3
ÿAlbania,"8,019",160.8,"7,702",155.5
ÿMalawi,"19,846",159.5,"19,475",156.3
ÿZambia,"15,296",159.5,"15,037",156.9
ÿPanama,"8,353",154.9,"8,110",151.1
ÿLaos,"9,101",154.5,"8,993",152.5
ÿThailand,"183,541",154.4,"180,337",152
ÿUganda,"35,968",154.4,"35,539",152.5
ÿEcuador,"30,888",152.7,"29,613",147.1
ÿJordan,"12,328",152.6,"12,164",150.4
ÿAzerbaijan,"18,503",152.3,"18,176",149.6
ÿPalestine,"5,030",152.3,"4,978",150.8
ÿVietnam,"180,480",150.8,"179,123",149.7
ÿMorocco,"63,609",149.8,"63,110",148.7
ÿKenya,"44,726",149.1,"44,065",146.9
