Country,Including NMSC Number, Including NMSC Rate,Excluding NMSC Number,Excluding NMSC Rate
ÿCentral African Republic,"2,023",79.9,"2,003",79
ÿFinland,"13,445",79.8,"13,389",79.6
ÿMartinique,886,79.3,885,79.3
ÿÿSwitzerland,"19,420",78.8,"19,266",78.4
ÿAfghanistan,"16,923",78.7,"16,712",77.5
ÿJapan,"426,278",78.6,"425,025",78.5
ÿAlgeria,"35,778",77.7,"35,347",76.8
ÿLuxembourg,"1,093",77.3,"1,089",77.1
ÿSouth Korea,"97,615",77,"97,268",76.8
ÿNicaragua,"4,822",76.8,"4,782",76.1
ÿGuinea-Bissau,849,76.5,838,75.3
ÿSouth Sudan,"5,081",76.3,"5,010",75.1
ÿDR Congo,"37,575",76.2,"37,318",75.6
ÿSaint Lucia,223,76.1,223,76.1
ÿEcuador,"16,158",76,"15,903",74.9
ÿCosta Rica,"6,072",75.3,"5,994",74.5
ÿComoros,418,75.3,416,74.9
ÿPuerto Rico,"5,796",75,"5,746",74.5
ÿMauritania,"2,234",74.8,"2,207",73.8
ÿBangladesh,"116,598",74.7,"116,062",74.3
ÿNigeria,"79,542",74.6,"78,311",73.4
ÿSolomon Islands,365,74.6,365,74.6
ÿEthiopia,"54,698",74.5,"53,461",72.6
ÿTogo,"3,605",74,"3,527",72.3
ÿEritrea,"1,724",72.5,"1,697",71.3
ÿEquatorial Guinea,589,72.1,583,71.2
ÿBenin,"5,069",71.6,"5,018",70.9
ÿUzbekistan,"22,071",71.5,"21,928",71
ÿGuatemala,"10,369",71.1,"10,207",70.1
ÿGuyana,612,70.2,612,70.2
ÿPakistan,"118,631",69.8,"116,294",68.4
ÿGabon,"1,094",69.5,"1,088",69
ÿSao Tome and Principe,90,68,90,68
ÿVanuatu,151,67.8,151,67.8
ÿBhutan,480,67.2,478,66.8
ÿDjibouti,572,66.7,564,65.7
ÿMauritius,"1,469",66.6,"1,469",66.6
ÿOman,"2,261",66.3,"2,249",65.8
ÿNiger,"8,806",66.1,"8,628",64.7
ÿBotswana,"1,277",66.1,"1,258",65
ÿPanama,"3,770",65.7,"3,740",65.3
ÿEl Salvador,"5,292",64.7,"5,239",64.2
ÿIndia,"916,827",64.4,"911,793",64
ÿSudan,"18,504",64.4,"18,216",63.3
ÿTajikistan,"4,225",63.9,"4,203",63.5
ÿYemen,"11,854",63.7,"11,726",62.9
ÿMexico,"96,210",63.5,"95,165",62.9
ÿGambia,899,62.7,899,62.7
ÿKuwait,"1,968",60.2,"1,967",60.1
ÿBelize,211,59.9,211,59.9
ÿRwanda,"4,887",59.4,"4,833",58.7
ÿSri Lanka,"19,145",59,"18,992",58.5
ÿMaldives,241,58.8,241,58.8
ÿBahrain,607,58.6,607,58.6
ÿCape Verde,285,58.3,285,58.3
ÿEast Timor,517,55.4,517,55.4
ÿÿÿNepal,"14,704",55.3,"14,600",54.9
ÿUnited Arab Emirates,"2,283",54.4,"2,264",53.9
ÿCongo,"1,732",52.9,"1,729",52.8
ÿSaudi Arabia,"13,399",46.2,"13,312",45.8
ÿQatar,782,46.2,781,46.1
ÿSierra Leone,"1,334",25.5,"1,334",25.5
